k,t,r
293,138.209327,0.028125,0.250134
294,138.744712,0.028070,0.250611
295,139.150640,0.028011,0.250611
296,139.687282,0.027950,0.250827
297,140.089286,0.027892,0.250827
298,140.622487,0.027840,0.251009
299,141.022368,0.027793,0.251009
300,141.551313,0.027752,0.251456
301,141.951836,0.027715,0.251456
302,142.486779,0.027679,0.252222
303,142.883939,0.027642,0.252222
304,143.426449,0.027598,0.253008
305,143.825411,0.027547,0.253008
306,144.363886,0.027490,0.253442
307,144.768147,0.027427,0.253442
308,145.300615,0.027364,0.253479
309,145.703604,0.027300,0.253479
310,146.240693,0.027238,0.253426
311,146.646871,0.027173,0.253426
312,147.186003,0.027104,0.253359
313,147.593346,0.027031,0.253359
314,148.128455,0.026955,0.253113
315,148.536434,0.026880,0.253113
316,149.077885,0.026807,0.252732
317,149.481541,0.026738,0.252732
318,150.025491,0.026671,0.252428
319,150.426728,0.026606,0.252428
320,150.958427,0.026541,0.252220
321,151.366913,0.026478,0.252220
322,151.894246,0.026416,0.252081
323,152.303943,0.026357,0.252081
324,152.838893,0.026301,0.252067
325,153.247036,0.026247,0.252067
326,153.778426,0.026195,0.252173
327,154.181998,0.026144,0.252173
328,154.723192,0.026094,0.252386
329,155.124048,0.026042,0.252386
330,155.661870,0.025989,0.252579
331,156.069370,0.025933,0.252579
332,156.603373,0.025875,0.252603
333,157.008365,0.025811,0.252603
334,157.540098,0.025740,0.252299
335,157.950806,0.025662,0.252299
336,158.492454,0.025580,0.251589
337,158.894007,0.025501,0.251589
338,159.434914,0.025425,0.250784
339,159.838402,0.025354,0.250784
340,160.379824,0.025286,0.250210
341,160.786360,0.025218,0.250210
342,161.327626,0.025148,0.249786
343,161.732856,0.025075,0.249786
344,162.263395,0.024998,0.249232
345,162.667372,0.024916,0.249232
346,163.206281,0.024832,0.248378
347,163.610214,0.024748,0.248378
348,164.168971,0.024667,0.247425
349,164.573111,0.024590,0.247425
350,165.114466,0.024511,0.246569
351,165.518099,0.024426,0.246569
352,166.061170,0.024335,0.245565
353,166.463370,0.024239,0.245565
354,166.996050,0.024141,0.244232
355,167.403615,0.024045,0.244232
356,167.955606,0.023955,0.242792
357,168.361579,0.023873,0.242792
358,168.894585,0.023797,0.241652
359,169.299424,0.023723,0.241652
360,169.830783,0.023648,0.240785
361,170.232655,0.023567,0.240785
362,170.772689,0.023480,0.239783
363,171.179385,0.023386,0.239783
364,171.712408,0.023292,0.238390
365,172.114332,0.023204,0.238390
366,172.645569,0.023121,0.236975
367,173.048392,0.023039,0.236975
368,173.586065,0.022956,0.235682
369,173.989005,0.022871,0.235682
370,174.520859,0.022786,0.234412
371,174.920104,0.022703,0.234412
372,175.461150,0.022623,0.233256
373,175.863492,0.022547,0.233256
374,176.399761,0.022470,0.232316
375,176.801605,0.022388,0.232316
376,177.342467,0.022297,0.231211
377,177.742190,0.022201,0.231211
378,178.268978,0.022101,0.229561
379,178.670474,0.022003,0.229561
380,179.224853,0.021903,0.227565
381,179.624764,0.021798,0.227565
382,180.160490,0.021687,0.225332
383,180.557646,0.021577,0.225332
384,181.094174,0.021472,0.223068
385,181.498409,0.021372,0.223068
386,182.039121,0.021273,0.221058
387,182.443981,0.021173,0.221058
388,182.990161,0.021076,0.219214
389,183.392030,0.020983,0.219214
390,183.947817,0.020894,0.217483
391,184.355510,0.020803,0.217483
392,184.890134,0.020706,0.215716
393,185.293545,0.020605,0.215716
394,185.822079,0.020504,0.213744
395,186.228036,0.020409,0.213744
396,186.759404,0.020315,0.211832
397,187.161259,0.020217,0.211832
398,187.691668,0.020110,0.209818
