k,t,r
649,306.193485,0.000009,0.000079
650,306.726290,0.000009,0.000079
651,307.131794,0.000009,0.000079
652,307.668254,0.000009,0.000080
653,308.077608,0.000009,0.000080
654,308.617970,0.000009,0.000081
655,309.024453,0.000009,0.000081
656,309.557888,0.000009,0.000081
657,309.967836,0.000009,0.000081
658,310.514955,0.000009,0.000082
659,310.920564,0.000009,0.000082
660,311.471720,0.000009,0.000083
661,311.881021,0.000008,0.000083
662,312.412483,0.000008,0.000085
663,312.819200,0.000008,0.000085
664,313.353130,0.000008,0.000088
665,313.754200,0.000008,0.000088
666,314.293682,0.000008,0.000090
667,314.694544,0.000008,0.000090
668,315.224574,0.000008,0.000092
669,315.624211,0.000008,0.000092
670,316.149615,0.000008,0.000095
671,316.548421,0.000007,0.000095
672,317.073242,0.000007,0.000097
673,317.473578,0.000007,0.000097
674,318.005048,0.000007,0.000098
675,318.411274,0.000007,0.000098
676,318.947174,0.000007,0.000099
677,319.348610,0.000007,0.000099
678,319.886063,0.000007,0.000100
679,320.291721,0.000007,0.000100
680,320.833579,0.000007,0.000100
681,321.232268,0.000007,0.000100
682,321.768063,0.000007,0.000101
683,322.172460,0.000007,0.000101
684,322.707612,0.000007,0.000101
685,323.115219,0.000007,0.000101
686,323.658492,0.000007,0.000102
687,324.067819,0.000007,0.000102
688,324.609997,0.000007,0.000102
689,325.017745,0.000007,0.000102
690,325.550662,0.000007,0.000102
691,325.956354,0.000007,0.000102
692,326.491528,0.000007,0.000102
693,326.895794,0.000008,0.000102
694,327.436090,0.000008,0.000102
695,327.840143,0.000008,0.000102
696,328.386059,0.000008,0.000103
697,328.791075,0.000008,0.000103
698,329.336263,0.000008,0.000103
699,329.737052,0.000008,0.000103
700,330.268782,0.000008,0.000103
701,330.670854,0.000008,0.000103
702,331.201109,0.000008,0.000102
703,331.597901,0.000008,0.000102
704,332.132708,0.000008,0.000102
705,332.538957,0.000008,0.000102
706,333.066415,0.000008,0.000102
707,333.478639,0.000008,0.000102
708,334.020403,0.000008,0.000101
709,334.423972,0.000008,0.000101
710,334.961569,0.000008,0.000101
711,335.363998,0.000008,0.000101
712,335.903052,0.000008,0.000100
713,336.311035,0.000008,0.000100
714,336.853158,0.000008,0.000101
715,337.250852,0.000008,0.000101
716,337.787097,0.000008,0.000101
717,338.189314,0.000008,0.000101
718,338.721451,0.000008,0.000102
719,339.124013,0.000008,0.000102
720,339.660690,0.000008,0.000102
721,340.073804,0.000008,0.000102
722,340.616202,0.000008,0.000103
723,341.012814,0.000008,0.000103
724,341.554934,0.000008,0.000103
725,341.957603,0.000008,0.000103
726,342.499357,0.000008,0.000103
727,342.904348,0.000008,0.000103
728,343.447012,0.000008,0.000102
729,343.850503,0.000008,0.000102
730,344.391436,0.000008,0.000101
731,344.798218,0.000008,0.000101
732,345.337856,0.000008,0.000100
733,345.739849,0.000008,0.000100
734,346.280077,0.000008,0.000099
735,346.685194,0.000008,0.000099
736,347.242117,0.000008,0.000097
737,347.641494,0.000008,0.000097
738,348.172010,0.000008,0.000096
739,348.572902,0.000008,0.000096
740,349.133666,0.000009,0.000096
741,349.540720,0.000009,0.000096
742,350.073098,0.000009,0.000095
743,350.483704,0.000009,0.000095
744,351.021474,0.000009,0.000094
745,351.429431,0.000009,0.000094
746,351.977739,0.000009,0.000092
747,352.383114,0.000009,0.000092
748,352.918335,0.000009,0.000092
749,353.320966,0.000009,0.000092
750,353.860912,0.000009,0.000091
751,354.261780,0.000009,0.000091
752,354.786754,0.000009,0.000090
753,355.194700,0.000009,0.000090
754,355.738683,0.000009,0.000090
755,356.141708,0.000008,0.000090
756,356.683519,0.000008,0.000090
757,357.085418,0.000008,0.000090
758,357.625828,0.000008,0.000090
759,358.027867,0.000008,0.000090
760,358.565586,0.000008,0.000090
761,358.965885,0.000008,0.000090
762,359.506890,0.000008,0.000090
763,359.910249,0.000008,0.000090
764,360.446309,0.000008,0.000089
765,360.859479,0.000008,0.000089
